Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,158.77999877929688,160.72999572753906,158.3300018310547,160.6199951171875,155.4220733642578,22622100
2020-01-03,158.32000732421875,159.9499969482422,158.05999755859375,158.6199951171875,153.4867706298828,21116200
2020-01-06,157.0800018310547,159.10000610351562,156.50999450683594,159.02999877929688,153.88351440429688,20813700
2020-01-07,159.32000732421875,159.6699981689453,157.32000732421875,157.5800018310547,152.48045349121094,21634100
2020-01-08,158.92999267578125,160.8000030517578,157.9499969482422,160.08999633789062,154.90916442871094,27746500
2020-01-09,161.83999633789062,162.22000122070312,161.02999877929688,162.08999633789062,156.84446716308594,21385000
2020-01-10,162.82000732421875,163.22000122070312,161.17999267578125,161.33999633789062,156.11874389648438,20725900
2020-01-13,161.75999450683594,163.30999755859375,161.25999450683594,163.27999877929688,157.99598693847656,21626500
2020-01-14,163.38999938964844,163.60000610351562,161.72000122070312,162.1300048828125,156.8831787109375,23477400
2020-01-15,162.6199951171875,163.94000244140625,162.57000732421875,163.17999267578125,157.8992156982422,21417900
2020-01-16,164.35000610351562,166.24000549316406,164.02999877929688,166.1699981689453,160.79244995117188,23865400
2020-01-17,167.4199981689453,167.47000122070312,165.42999267578125,167.10000610351562,161.69235229492188,34371700
2020-01-21,166.67999267578125,168.19000244140625,166.42999267578125,166.5,161.1117401123047,29517200
2020-01-22,167.39999389648438,167.49000549316406,165.67999267578125,165.6999969482422,160.337646484375,24138800
2020-01-23,166.19000244140625,166.8000030517578,165.27000427246094,166.72000122070312,161.3246307373047,19680800
2020-01-24,167.50999450683594,167.52999877929688,164.4499969482422,165.0399932861328,159.69898986816406,24918100
2020-01-27,161.14999389648438,163.3800048828125,160.1999969482422,162.27999877929688,157.0283203125,32078100
2020-01-28,163.77999877929688,165.75999450683594,163.07000732421875,165.4600067138672,160.1054229736328,24899900
2020-01-29,167.83999633789062,168.75,165.69000244140625,168.0399932861328,162.6019287109375,34754500
2020-01-30,174.0500030517578,174.0500030517578,170.7899932861328,172.77999877929688,167.18853759765625,51597500
2020-01-31,172.2100067138672,172.39999389648438,169.5800018310547,170.22999572753906,164.72105407714844,36142700
2020-02-03,170.42999267578125,174.5,170.39999389648438,174.3800048828125,168.73675537109375,30107000
2020-02-04,177.13999938964844,180.63999938964844,176.30999755859375,180.1199951171875,174.29098510742188,36433300
2020-02-05,184.02999877929688,184.1999969482422,178.41000366210938,179.89999389648438,174.07810974121094,39186300
2020-02-06,180.97000122070312,183.82000732421875,180.05999755859375,183.6300048828125,177.6873779296875,27751400
2020-02-07,182.85000610351562,185.6300048828125,182.47999572753906,183.88999938964844,177.93899536132812,33529100
2020-02-10,183.5800018310547,188.83999633789062,183.25,188.6999969482422,182.59329223632812,35844300
2020-02-11,190.64999389648438,190.6999969482422,183.5,184.44000244140625,178.47117614746094,53159900
2020-02-12,185.5800018310547,185.85000610351562,181.85000610351562,184.7100067138672,178.73243713378906,47062900
2020-02-13,183.0800018310547,186.22999572753906,182.8699951171875,183.7100067138672,177.76480102539062,35295800
2020-02-14,183.25,185.41000366210938,182.64999389648438,185.35000610351562,179.35174560546875,23149500
2020-02-18,185.61000061035156,187.6999969482422,185.5,187.22999572753906,181.17088317871094,27792200
2020-02-19,188.05999755859375,188.17999267578125,186.47000122070312,187.27999877929688,181.7142333984375,29997500
2020-02-20,186.9499969482422,187.25,181.10000610351562,184.4199981689453,178.93923950195312,36862400
2020-02-21,183.1699981689453,183.5,177.25,178.58999633789062,173.2825164794922,48572600
2020-02-24,167.77000427246094,174.5500030517578,163.22999572753906,170.88999938964844,165.81134033203125,68311100
2020-02-25,174.1999969482422,174.83999633789062,167.64999389648438,168.07000732421875,163.07516479492188,68073300
2020-02-26,169.7100067138672,173.25999450683594,168.2100067138672,170.1699981689453,165.11273193359375,56206100
2020-02-27,163.32000732421875,167.02999877929688,157.97999572753906,158.17999267578125,153.4790802001953,93174900
2020-02-28,152.41000366210938,163.7100067138672,152.0,162.00999450683594,157.1952667236328,97012700
2020-03-02,165.30999755859375,172.9199981689453,162.30999755859375,172.7899932861328,167.65489196777344,71030800
2020-03-03,173.8000030517578,175.0,162.25999450683594,164.50999450683594,159.62095642089844,71677000
2020-03-04,168.49000549316406,170.6999969482422,165.6199951171875,170.5500030517578,165.4814453125,49814400
2020-03-05,166.0500030517578,170.8699951171875,165.69000244140625,166.27000427246094,161.32864379882812,47817300
2020-03-06,162.61000061035156,163.11000061035156,156.0,161.57000732421875,156.76832580566406,72821100
2020-03-09,151.0,157.75,150.0,150.6199951171875,146.1437530517578,70419300
2020-03-10,158.16000366210938,161.02999877929688,152.5800018310547,160.9199981689453,156.1376495361328,65354400
2020-03-11,157.1300048828125,157.6999969482422,151.14999389648438,153.6300048828125,149.0642852783203,56371600
2020-03-12,145.3000030517578,153.47000122070312,138.5800018310547,139.05999755859375,134.92727661132812,93226400
2020-03-13,147.5,161.91000366210938,140.72999572753906,158.8300018310547,154.10975646972656,92727400
2020-03-16,140.0,149.35000610351562,135.0,135.4199981689453,131.3954620361328,87905900
2020-03-17,140.0,147.5,135.0,146.57000732421875,142.21412658691406,81059800
2020-03-18,138.0,146.0,135.02000427246094,140.39999389648438,136.22747802734375,81593200
2020-03-19,142.77000427246094,150.14999389648438,139.0,142.7100067138672,138.46881103515625,85922700
2020-03-20,146.0,147.10000610351562,135.86000061035156,137.35000610351562,133.2681427001953,84866200
2020-03-23,137.00999450683594,140.57000732421875,132.52000427246094,135.97999572753906,131.93885803222656,78975200
2020-03-24,143.75,149.60000610351562,141.27000427246094,148.33999633789062,143.9315185546875,82516700
2020-03-25,148.91000366210938,154.3300018310547,144.44000244140625,146.9199981689453,142.5537109375,75638200
2020-03-26,148.39999389648438,156.66000366210938,148.3699951171875,156.11000061035156,151.47059631347656,64568100
2020-03-27,151.75,154.88999938964844,149.1999969482422,149.6999969482422,145.25111389160156,57042300
2020-03-30,152.44000244140625,160.60000610351562,150.00999450683594,160.22999572753906,155.46815490722656,63420300
2020-03-31,159.39999389648438,164.77999877929688,156.55999755859375,157.7100067138672,153.02305603027344,77927200
2020-04-01,153.0,157.75,150.82000732421875,152.11000061035156,147.5894775390625,57969900
2020-04-02,151.86000061035156,155.47999572753906,150.36000061035156,155.25999450683594,150.6458282470703,49630700
2020-04-03,155.10000610351562,157.3800048828125,152.19000244140625,153.8300018310547,149.2583465576172,41243300
2020-04-06,160.32000732421875,166.5,157.5800018310547,165.27000427246094,160.35838317871094,67111700
2020-04-07,169.58999633789062,170.0,163.25999450683594,163.49000549316406,158.6312713623047,62769000
2020-04-08,165.6699981689453,166.6699981689453,163.5,165.1300048828125,160.22250366210938,48318200
2020-04-09,166.36000061035156,167.3699951171875,163.3300018310547,165.13999938964844,160.2322235107422,51385100
2020-04-13,164.35000610351562,165.57000732421875,162.3000030517578,165.50999450683594,160.59121704101562,41905300
2020-04-14,169.0,173.75,168.0,173.6999969482422,168.53782653808594,52874300
